epoch,bbox_loss,label_loss,loss,lr,val_bbox_loss,val_label_loss,val_loss
0,0.5853284001350403,2.8690390586853027,3.4543697834014893,1e-04,0.5923175811767578,2.378293037414551,2.9706103801727295
1,0.5517995357513428,1.574324369430542,2.126124382019043,1e-04,0.5754263997077942,1.609514832496643,2.184941291809082
2,0.5494397878646851,0.7873225212097168,1.336761713027954,1e-04,0.56125807762146,1.185575008392334,1.7468329668045044
3,0.5467984676361084,0.42780816555023193,0.9746066331863403,1e-04,0.5628026723861694,0.9494766592979431,1.5122792720794678
4,0.5464844107627869,0.2831709384918213,0.8296550512313843,1e-04,0.565883994102478,0.9660042524337769,1.5318882465362549
5,0.5432610511779785,0.20966580510139465,0.7529272437095642,1e-04,0.5645141005516052,0.8163126707077026,1.3808268308639526
6,0.5426369309425354,0.16669560968875885,0.7093324065208435,1e-04,0.5649882555007935,0.7603485584259033,1.3253369331359863
7,0.5421698689460754,0.14139318466186523,0.6835629940032959,1e-04,0.5599380135536194,0.6066057682037354,1.1665438413619995
8,0.5395746231079102,0.11424235999584198,0.653816819190979,1e-04,0.5577738285064697,0.7896745204925537,1.3474483489990234
9,0.5368061661720276,0.09218309819698334,0.628989577293396,1e-04,0.5540886521339417,0.627292275428772,1.1813809871673584
10,0.5357502102851868,0.08370034396648407,0.619450569152832,1e-04,0.5522909760475159,0.7503500580787659,1.3026410341262817
11,0.5325722694396973,0.0752628892660141,0.6078351736068726,1e-04,0.5530386567115784,0.6794203519821167,1.2324589490890503
12,0.5302184224128723,0.06473704427480698,0.5949548482894897,1e-04,0.5537351965904236,0.7049863338470459,1.2587214708328247
13,0.5291486978530884,0.06111755594611168,0.5902660489082336,1e-05,0.5505208373069763,0.6725592613220215,1.2230801582336426
14,0.5292487144470215,0.04738685488700867,0.5766354203224182,1e-05,0.5497118830680847,0.6265614032745361,1.176273226737976
15,0.5283108949661255,0.03535442054271698,0.5636656284332275,1e-05,0.5492611527442932,0.5928345322608948,1.142095685005188
16,0.5280574560165405,0.03557025268673897,0.5636279582977295,1e-05,0.548958420753479,0.5808087587356567,1.1297670602798462
17,0.5271396636962891,0.03018510527908802,0.5573247075080872,1e-05,0.5491061210632324,0.5375691652297974,1.0866751670837402
18,0.5257478356361389,0.03153090551495552,0.5572787523269653,1e-05,0.5491287112236023,0.5303747653961182,1.0795035362243652
19,0.525435745716095,0.029544197022914886,0.554979681968689,1e-05,0.548088788986206,0.5440586805343628,1.0921473503112793
20,0.52456134557724,0.028348978608846664,0.5529107451438904,1e-05,0.5477139353752136,0.5501693487167358,1.0978832244873047
21,0.5259486436843872,0.027444524690508842,0.5533934235572815,1e-05,0.5466034412384033,0.5083568096160889,1.0549603700637817
22,0.5243906378746033,0.02484099753201008,0.5492315888404846,1e-05,0.546544075012207,0.5220301747322083,1.06857430934906
23,0.5221138596534729,0.02372642047703266,0.5458403825759888,1e-05,0.5461761951446533,0.5055986046791077,1.0517747402191162
24,0.5223414301872253,0.024324284866452217,0.5466657280921936,1e-05,0.5460489988327026,0.5753752589225769,1.1214241981506348
25,0.5220851302146912,0.024677904322743416,0.5467629432678223,1e-05,0.5470143556594849,0.5572327375411987,1.1042472124099731
26,0.5216689109802246,0.02072569914162159,0.5423946380615234,1e-05,0.5462231636047363,0.5164655447006226,1.0626887083053589
27,0.5207688212394714,0.02226821333169937,0.5430368185043335,1e-05,0.544281005859375,0.5534818172454834,1.0977628231048584
28,0.5199427604675293,0.019820088520646095,0.5397629141807556,1e-05,0.5443575978279114,0.5519224405288696,1.0962799787521362
29,0.5192360281944275,0.020692357793450356,0.5399286150932312,1e-06,0.5443820953369141,0.5524523854255676,1.096834659576416
30,0.5176295042037964,0.019811835139989853,0.537441611289978,1e-06,0.5441140532493591,0.5453054904937744,1.0894196033477783
31,0.5183140635490417,0.020934894680976868,0.5392491817474365,1e-06,0.5441339015960693,0.5429694652557373,1.0871033668518066
32,0.5174206495285034,0.020299497991800308,0.5377203822135925,1e-06,0.5440787672996521,0.5352301597595215,1.0793088674545288
33,0.5180923938751221,0.01946594938635826,0.5375582575798035,1e-06,0.5440672636032104,0.5399354100227356,1.0840028524398804
34,0.5181049704551697,0.01989474520087242,0.53799968957901,1e-07,0.5440594553947449,0.5419235825538635,1.0859830379486084
35,0.5175116062164307,0.019740333780646324,0.5372521877288818,1e-07,0.5440301895141602,0.5436804294586182,1.0877107381820679
36,0.5167037844657898,0.01861238107085228,0.5353160500526428,1e-07,0.5440008640289307,0.54417884349823,1.0881797075271606
37,0.5170788764953613,0.019246060401201248,0.5363249778747559,1e-07,0.5439834594726562,0.5441899299621582,1.0881733894348145
38,0.5176941752433777,0.01911991462111473,0.536814272403717,1e-07,0.543961763381958,0.5434275269508362,1.087389349937439
39,0.517431914806366,0.018890948966145515,0.5363227725028992,1e-07,0.5439403057098389,0.5429122447967529,1.0868525505065918
40,0.5181588530540466,0.018342023715376854,0.5365006923675537,1e-07,0.5439136028289795,0.5430812239646912,1.0869948863983154
41,0.5171582102775574,0.019970456138253212,0.5371285676956177,1e-07,0.5439097881317139,0.5427183508872986,1.0866280794143677
42,0.5184524059295654,0.018394710496068,0.5368471741676331,1e-07,0.5439049601554871,0.5431729555130005,1.0870779752731323
43,0.5177856087684631,0.019559599459171295,0.5373454093933105,1e-07,0.5439071655273438,0.5436182022094727,1.0875253677368164
